sentence,hypothesis_simple,hypothesis_traditional,clean_sentence,clean_hypothesis_simple,clean_hypothesis_traditional,training_time
明朝官员。,名朝官员,名朝官員,明朝官员,名朝官员,名朝官員,1196.6126444339752
他曾经在哥伦比亚大学执教。,他从今在哥伦比亚大学职教,他從今在哥倫比亞大學職教,他曾经在哥伦比亚大学执教,他从今在哥伦比亚大学职教,他從今在哥倫比亞大學職教,1196.6126444339752
武田信吉。,5田信金,5田信金,武田信吉,5田信金,5田信金,1196.6126444339752
但苹果后来批准该应用发布更新。,但苹果后来批准该应用发布更新,但蘋果後來批准該應用發布更新,但苹果后来批准该应用发布更新,但苹果后来批准该应用发布更新,但蘋果後來批准該應用發布更新,1196.6126444339752
他在奥尔巴尼大学有教育和法文双教授衔。,他在28米大学有教育和法文双教授线,他在28米大学有教育和法文双教授线,他在奥尔巴尼大学有教育和法文双教授衔,他在28米大学有教育和法文双教授线,他在28米大学有教育和法文双教授线,1196.6126444339752
该枪面向民用娱乐射击市场。,该枪面向民用娱乐设计时常,該槍面向民用娛樂設計時常,该枪面向民用娱乐射击市场,该枪面向民用娱乐设计时常,該槍面向民用娛樂設計時常,1196.6126444339752
阿拉伯狒狒主要生活在半沙漠地带。,阿拉伯肺肥主要生活在半沙漠地板,阿拉伯肺肥主要生活在半沙漠地板,阿拉伯狒狒主要生活在半沙漠地带,阿拉伯肺肥主要生活在半沙漠地板,阿拉伯肺肥主要生活在半沙漠地板,1196.6126444339752
正交配置是偏微分方程数值解的一种方法。,正焦配置是偏微分方程数指解的一种方法,正焦配置是偏微分方程数指解的一种方法,正交配置是偏微分方程数值解的一种方法,正焦配置是偏微分方程数指解的一种方法,正焦配置是偏微分方程数指解的一种方法,1196.6126444339752
中国药典已被世界卫生组织认定为中国官方药典。,中国要点一倍世界卫生组织认定为中国官方要点,中國要點一倍世界衛生組織認定為中國官方要點,中国药典已被世界卫生组织认定为中国官方药典,中国要点一倍世界卫生组织认定为中国官方要点,中國要點一倍世界衛生組織認定為中國官方要點,1196.6126444339752
认定眼前是妖怪无误的两人马上拔出了佩刀。,任定点前是妖怪无物的两人马上拔出了配头,任定点前是妖怪无物的两人马上拔出了配头,认定眼前是妖怪无误的两人马上拔出了佩刀,任定点前是妖怪无物的两人马上拔出了配头,任定点前是妖怪无物的两人马上拔出了配头,1196.6126444339752
西戎是日本将棋的棋子之一。,西容是日本降其的旗子之一,西容是日本降其的旗子之一,西戎是日本将棋的棋子之一,西容是日本降其的旗子之一,西容是日本降其的旗子之一,1196.6126444339752
皮尔格批评了许多主流媒体的记者。,第二个批评论许多主流媒体的记者,第二个批评论许多主流媒体的记者,皮尔格批评了许多主流媒体的记者,第二个批评论许多主流媒体的记者,第二个批评论许多主流媒体的记者,1196.6126444339752
属晋熙郡。,势情沟通,势情溝通,属晋熙郡,势情沟通,势情溝通,1196.6126444339752
陈立业。,晨play,晨play,陈立业,晨play,晨play,1196.6126444339752
斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种。,半速毛管牙为毛管牙科后毛管牙手下的一个种,半速毛管牙為毛管牙科後毛管牙手下的一個種,斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种,半速毛管牙为毛管牙科后毛管牙手下的一个种,半速毛管牙為毛管牙科後毛管牙手下的一個種,1196.6126444339752
于松迪普瓦图人口变化图示,于松底铺瓦土人口变化土事,于松底铺瓦土人口变化土事,于松迪普瓦图人口变化图示,于松底铺瓦土人口变化土事,于松底铺瓦土人口变化土事,1196.6126444339752
鳗鲡楚克拉虫为两极科楚克拉虫属的动物。,"慢力出克拉重为两极科,出克拉重属的动物","慢力出克拉重为两极科,出克拉重属的动物",鳗鲡楚克拉虫为两极科楚克拉虫属的动物,慢力出克拉重为两极科 出克拉重属的动物,慢力出克拉重为两极科 出克拉重属的动物,1196.6126444339752
新穆德哈尔建筑是摩尔复兴建筑的一种。,西木德哈尔建筑是摩尔复兴建筑的一种,西木德哈尔建筑是摩尔復興建筑的一種,新穆德哈尔建筑是摩尔复兴建筑的一种,西木德哈尔建筑是摩尔复兴建筑的一种,西木德哈尔建筑是摩尔復興建筑的一種,1196.6126444339752
山西玄参为玄参科玄参属下的一个种。,"山西旋升,唯一旋升科旋升属下的一个种","山西旋升,唯一旋升科旋升属下的一個種",山西玄参为玄参科玄参属下的一个种,山西旋升 唯一旋升科旋升属下的一个种,山西旋升 唯一旋升科旋升属下的一個種,1196.6126444339752
金丝梅为藤黄科金丝桃属下的一个种。,金丝梅为腾黄和金丝套属下的一个种,金丝梅为腾黄和金丝套属下的一个种,金丝梅为藤黄科金丝桃属下的一个种,金丝梅为腾黄和金丝套属下的一个种,金丝梅为腾黄和金丝套属下的一个种,1196.6126444339752
在模型论的范畴内这个证明就更困难了。,在模型论的范畴内这个证明就更困难了,在模型论的範疇内这个证明就更困难了,在模型论的范畴内这个证明就更困难了,在模型论的范畴内这个证明就更困难了,在模型论的範疇内这个证明就更困难了,1196.6126444339752
这些新材料和技术大体上就是物理性质在微尺度上的应用。,这些新材料和技术大体上就是物理性值在微尺度上的应用,這些新材料和技術大體上就是物理性值在微尺度上的應用,这些新材料和技术大体上就是物理性质在微尺度上的应用,这些新材料和技术大体上就是物理性值在微尺度上的应用,這些新材料和技術大體上就是物理性值在微尺度上的應用,1196.6126444339752
节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事。,节目讲述了从送挥中机位到送高中退位期间的历史故事,節目講述了從送揮中機位到送高中退位期間的歷史故事,节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,节目讲述了从送挥中机位到送高中退位期间的历史故事,節目講述了從送揮中機位到送高中退位期間的歷史故事,1196.6126444339752
黄子芊是班上最具名气的一人。,黄子谦是班上最具流气的艺人,黃子謙是班上最具流氣的藝人,黄子芊是班上最具名气的一人,黄子谦是班上最具流气的艺人,黃子謙是班上最具流氣的藝人,1196.6126444339752
哈拉尔三世可以指,哈拉尔30可以直,哈拉尔30可以直,哈拉尔三世可以指,哈拉尔30可以直,哈拉尔30可以直,1196.6126444339752
二水车站亦为集集线的起点。,2水车站一为几几下的起点,2水车站一为几几下的起点,二水车站亦为集集线的起点,2水车站一为几几下的起点,2水车站一为几几下的起点,1196.6126444339752
