sentence,hypothesis_simple,hypothesis_traditional,clean_sentence,clean_hypothesis_simple,clean_hypothesis_traditional,training_time
明朝官员。,明朝官员,明朝官员,明朝官员,明朝官员,明朝官员,3950.6493270397186
他曾经在哥伦比亚大学执教。,他曾经在哥伦比亚大学执教,他曾经在哥伦比亚大学执教,他曾经在哥伦比亚大学执教,他曾经在哥伦比亚大学执教,他曾经在哥伦比亚大学执教,3950.6493270397186
武田信吉。,五田信吉,五田信吉,武田信吉,五田信吉,五田信吉,3950.6493270397186
但苹果后来批准该应用发布更新。,但苹果后来批准该应用发布更新,但苹果后来批准该应用发布更新,但苹果后来批准该应用发布更新,但苹果后来批准该应用发布更新,但苹果后来批准该应用发布更新,3950.6493270397186
他在奥尔巴尼大学有教育和法文双教授衔。,他在阿尔巴尼大学有教育和法文双教授衔,他在阿尔巴尼大学有教育和法文双教授衔,他在奥尔巴尼大学有教育和法文双教授衔,他在阿尔巴尼大学有教育和法文双教授衔,他在阿尔巴尼大学有教育和法文双教授衔,3950.6493270397186
该枪面向民用娱乐射击市场。,该枪面向民用娱乐射击市场,该枪面向民用娱乐射击市场,该枪面向民用娱乐射击市场,该枪面向民用娱乐射击市场,该枪面向民用娱乐射击市场,3950.6493270397186
阿拉伯狒狒主要生活在半沙漠地带。,阿拉伯废匪主要生活在半沙漠地带,阿拉伯废匪主要生活在半沙漠地带,阿拉伯狒狒主要生活在半沙漠地带,阿拉伯废匪主要生活在半沙漠地带,阿拉伯废匪主要生活在半沙漠地带,3950.6493270397186
正交配置是偏微分方程数值解的一种方法。,正交配置是偏微分方程数直解的一种方法,正交配置是偏微分方程数直解的一种方法,正交配置是偏微分方程数值解的一种方法,正交配置是偏微分方程数直解的一种方法,正交配置是偏微分方程数直解的一种方法,3950.6493270397186
中国药典已被世界卫生组织认定为中国官方药典。,中国药典已被世界卫生组织认定为中国官方药典,中国药典已被世界卫生组织认定为中国官方药典,中国药典已被世界卫生组织认定为中国官方药典,中国药典已被世界卫生组织认定为中国官方药典,中国药典已被世界卫生组织认定为中国官方药典,3950.6493270397186
认定眼前是妖怪无误的两人马上拔出了佩刀。,认定眼前是妖怪无物的两人马上拔出了佩刀,认定眼前是妖怪无物的两人马上拔出了佩刀,认定眼前是妖怪无误的两人马上拔出了佩刀,认定眼前是妖怪无物的两人马上拔出了佩刀,认定眼前是妖怪无物的两人马上拔出了佩刀,3950.6493270397186
西戎是日本将棋的棋子之一。,西戎是日本将棋的棋子之一,西戎是日本将棋的棋子之一,西戎是日本将棋的棋子之一,西戎是日本将棋的棋子之一,西戎是日本将棋的棋子之一,3950.6493270397186
皮尔格批评了许多主流媒体的记者。,皮尔格批评了许多主流媒体的记者,皮尔格批评了许多主流媒体的记者,皮尔格批评了许多主流媒体的记者,皮尔格批评了许多主流媒体的记者,皮尔格批评了许多主流媒体的记者,3950.6493270397186
属晋熙郡。,鼠禁西郡,鼠禁西郡,属晋熙郡,鼠禁西郡,鼠禁西郡,3950.6493270397186
陈立业。,陈立业,陈立业,陈立业,陈立业,陈立业,3950.6493270397186
斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种。,斑腹毛管牙为毛管牙科后毛管牙属下的一个种,斑腹毛管牙为毛管牙科后毛管牙属下的一个种,斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种,斑腹毛管牙为毛管牙科后毛管牙属下的一个种,斑腹毛管牙为毛管牙科后毛管牙属下的一个种,3950.6493270397186
于松迪普瓦图人口变化图示,余松迪普瓦土人口变化图示,余松迪普瓦土人口变化图示,于松迪普瓦图人口变化图示,余松迪普瓦土人口变化图示,余松迪普瓦土人口变化图示,3950.6493270397186
鳗鲡楚克拉虫为两极科楚克拉虫属的动物。,曼利楚克拉虫为两极颗楚克拉虫属的动物,曼利楚克拉虫为两极颗楚克拉虫属的动物,鳗鲡楚克拉虫为两极科楚克拉虫属的动物,曼利楚克拉虫为两极颗楚克拉虫属的动物,曼利楚克拉虫为两极颗楚克拉虫属的动物,3950.6493270397186
新穆德哈尔建筑是摩尔复兴建筑的一种。,西木德哈尔建筑是摩尔复兴建筑的一种,西木德哈尔建筑是摩尔复兴建筑的一种,新穆德哈尔建筑是摩尔复兴建筑的一种,西木德哈尔建筑是摩尔复兴建筑的一种,西木德哈尔建筑是摩尔复兴建筑的一种,3950.6493270397186
山西玄参为玄参科玄参属下的一个种。,山西玄生为玄生科玄生属下的一个种,山西玄生为玄生科玄生属下的一个种,山西玄参为玄参科玄参属下的一个种,山西玄生为玄生科玄生属下的一个种,山西玄生为玄生科玄生属下的一个种,3950.6493270397186
金丝梅为藤黄科金丝桃属下的一个种。,金丝梅为藤黄和金丝桃属下的一个种,金丝梅为藤黄和金丝桃属下的一个种,金丝梅为藤黄科金丝桃属下的一个种,金丝梅为藤黄和金丝桃属下的一个种,金丝梅为藤黄和金丝桃属下的一个种,3950.6493270397186
在模型论的范畴内这个证明就更困难了。,"在模型论的范畴内,这个证明就更困难了","在模型论的范畴内,这个证明就更困难了",在模型论的范畴内这个证明就更困难了,在模型论的范畴内 这个证明就更困难了,在模型论的范畴内 这个证明就更困难了,3950.6493270397186
这些新材料和技术大体上就是物理性质在微尺度上的应用。,这些新材料和技术大体上就是物理性质在微尺度上的应用,这些新材料和技术大体上就是物理性质在微尺度上的应用,这些新材料和技术大体上就是物理性质在微尺度上的应用,这些新材料和技术大体上就是物理性质在微尺度上的应用,这些新材料和技术大体上就是物理性质在微尺度上的应用,3950.6493270397186
节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事。,节目讲述了从宋徽宗继位到宋高宗退位期间的历史故事,节目讲述了从宋徽宗继位到宋高宗退位期间的历史故事,节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,节目讲述了从宋徽宗继位到宋高宗退位期间的历史故事,节目讲述了从宋徽宗继位到宋高宗退位期间的历史故事,3950.6493270397186
黄子芊是班上最具名气的一人。,黄子谦是班上最具名气的一人,黄子谦是班上最具名气的一人,黄子芊是班上最具名气的一人,黄子谦是班上最具名气的一人,黄子谦是班上最具名气的一人,3950.6493270397186
哈拉尔三世可以指,哈拉尔30可以值,哈拉尔30可以值,哈拉尔三世可以指,哈拉尔30可以值,哈拉尔30可以值,3950.6493270397186
二水车站亦为集集线的起点。,二水车站意为积极线的起点,二水车站意为积极线的起点,二水车站亦为集集线的起点,二水车站意为积极线的起点,二水车站意为积极线的起点,3950.6493270397186
科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园。,科博克谷国家公园也是美国的国家公园中游客数最少的国家公园,科博克谷国家公园也是美国的国家公园中游客数最少的国家公园,科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园,科博克谷国家公园也是美国的国家公园中游客数最少的国家公园,科博克谷国家公园也是美国的国家公园中游客数最少的国家公园,3950.6493270397186
治所在怀道县。,制作在淮道县,制作在淮道县,治所在怀道县,制作在淮道县,制作在淮道县,3950.6493270397186
达拉斯龙具有许多自衍征。,达拉斯龙具有许多字言证,达拉斯龙具有许多字言证,达拉斯龙具有许多自衍征,达拉斯龙具有许多字言证,达拉斯龙具有许多字言证,3950.6493270397186
绳金塔始建于唐朝天佑年间。,神经塔始建于唐朝天佑年间,神经塔始建于唐朝天佑年间,绳金塔始建于唐朝天佑年间,神经塔始建于唐朝天佑年间,神经塔始建于唐朝天佑年间,3950.6493270397186
此外，多位积极的活动家也参与了典礼。,此外多位积极的活动家也参与了典礼,此外多位积极的活动家也参与了典礼,此外 多位积极的活动家也参与了典礼,此外多位积极的活动家也参与了典礼,此外多位积极的活动家也参与了典礼,3950.6493270397186
案中三名被告分别是莫世健、李玉培及杨曼曼，当中李玉培和杨曼曼为从犯。,案中三名被告分别是莫世健、李玉培及杨曼曼当中李玉培和杨曼曼为从犯,案中三名被告分别是莫世健、李玉培及杨曼曼当中李玉培和杨曼曼为从犯,案中三名被告分别是莫世健 李玉培及杨曼曼 当中李玉培和杨曼曼为从犯,案中三名被告分别是莫世健 李玉培及杨曼曼当中李玉培和杨曼曼为从犯,案中三名被告分别是莫世健 李玉培及杨曼曼当中李玉培和杨曼曼为从犯,3950.6493270397186
而零声母符号表示。,而林生武符号表示,而林生武符号表示,而零声母符号表示,而林生武符号表示,而林生武符号表示,3950.6493270397186
过去的研究报告以及来源借助于新科技数位人类学的帮助。,过去的研究报告以及来源借助于新科技数位人类学的帮助,过去的研究报告以及来源借助于新科技数位人类学的帮助,过去的研究报告以及来源借助于新科技数位人类学的帮助,过去的研究报告以及来源借助于新科技数位人类学的帮助,过去的研究报告以及来源借助于新科技数位人类学的帮助,3950.6493270397186
哈德利也设计了位于皮尔斯县的。,哈德利也设计了位于皮尔斯县的,哈德利也设计了位于皮尔斯县的,哈德利也设计了位于皮尔斯县的,哈德利也设计了位于皮尔斯县的,哈德利也设计了位于皮尔斯县的,3950.6493270397186
