sentence,hypothesis_simple,hypothesis_traditional,clean_sentence,clean_hypothesis_simple,clean_hypothesis_traditional,training_time
明朝官员。,明朝官员,明朝官员,明朝官员,明朝官员,明朝官员,4195.143456459045
他曾经在哥伦比亚大学执教。,他曾经在哥伦比亚大学执教,他曾经在哥伦比亚大学执教,他曾经在哥伦比亚大学执教,他曾经在哥伦比亚大学执教,他曾经在哥伦比亚大学执教,4195.143456459045
武田信吉。,五天信集,五天信集,武田信吉,五天信集,五天信集,4195.143456459045
但苹果后来批准该应用发布更新。,但苹果后来批准该应用发布更新,但苹果后来批准该应用发布更新,但苹果后来批准该应用发布更新,但苹果后来批准该应用发布更新,但苹果后来批准该应用发布更新,4195.143456459045
他在奥尔巴尼大学有教育和法文双教授衔。,他在阿尔巴尼大学有教育和法文双教授险,他在阿尔巴尼大学有教育和法文双教授险,他在奥尔巴尼大学有教育和法文双教授衔,他在阿尔巴尼大学有教育和法文双教授险,他在阿尔巴尼大学有教育和法文双教授险,4195.143456459045
该枪面向民用娱乐射击市场。,该枪面向民用娱乐射击市场,该枪面向民用娱乐射击市场,该枪面向民用娱乐射击市场,该枪面向民用娱乐射击市场,该枪面向民用娱乐射击市场,4195.143456459045
阿拉伯狒狒主要生活在半沙漠地带。,阿拉伯匪匪主要生活在半沙漠地带,阿拉伯匪匪主要生活在半沙漠地带,阿拉伯狒狒主要生活在半沙漠地带,阿拉伯匪匪主要生活在半沙漠地带,阿拉伯匪匪主要生活在半沙漠地带,4195.143456459045
正交配置是偏微分方程数值解的一种方法。,正交配置是偏微分方程数直解的一种方法,正交配置是偏微分方程数直解的一种方法,正交配置是偏微分方程数值解的一种方法,正交配置是偏微分方程数直解的一种方法,正交配置是偏微分方程数直解的一种方法,4195.143456459045
中国药典已被世界卫生组织认定为中国官方药典。,中国药点已被世界卫生组织认定为中国官方药点,中国药点已被世界卫生组织认定为中国官方药点,中国药典已被世界卫生组织认定为中国官方药典,中国药点已被世界卫生组织认定为中国官方药点,中国药点已被世界卫生组织认定为中国官方药点,4195.143456459045
认定眼前是妖怪无误的两人马上拔出了佩刀。,认定眼前是妖怪五五的两人马上拔出了配刀,認定眼前是妖怪五五的兩人馬上拔出了配刀,认定眼前是妖怪无误的两人马上拔出了佩刀,认定眼前是妖怪五五的两人马上拔出了配刀,認定眼前是妖怪五五的兩人馬上拔出了配刀,4195.143456459045
西戎是日本将棋的棋子之一。,西戎是日本将棋的棋子之一,西戎是日本将棋的棋子之一,西戎是日本将棋的棋子之一,西戎是日本将棋的棋子之一,西戎是日本将棋的棋子之一,4195.143456459045
皮尔格批评了许多主流媒体的记者。,皮二哥批评了许多主流媒体的记者,皮二哥批评了许多主流媒体的记者,皮尔格批评了许多主流媒体的记者,皮二哥批评了许多主流媒体的记者,皮二哥批评了许多主流媒体的记者,4195.143456459045
属晋熙郡。,属进西郡,属进西郡,属晋熙郡,属进西郡,属进西郡,4195.143456459045
陈立业。,成立,成立,陈立业,成立,成立,4195.143456459045
